Model,RMSE,R2
MLP Regressor,126.46333635577182,0.9942841313475038
XGBoost,192.66108272498238,0.9867339703610796
LightGBM,194.76056695505304,0.9864432673883212
CatBoost,207.94892064996748,0.9845450960242074
Linear Regression,432.62583597895826,0.9331074313489084
